wood | Desc_Wood
coal | Desc_Coal
stone | Desc_Stone
iron-ore | Desc_IronOre
copper-ore | Desc_OreCopper
uranium-ore | Desc_OreUranium
fish | Desc_AlienProtein
iron-plate | Desc_IronIngot
copper-plate | Desc_CopperIngot
steel-plate | Desc_SteelIngot
solid-fuel | Desc_PetroleumCoke
plastic-bar | Desc_Plastic
sulfur | Desc_Sulfur
battery | Desc_Battery
explosives | Desc_Gunpowder
iron-gear-wheel | Desc_IronPlate
iron-stick | Desc_IronRod
copper-cable | Desc_Wire
empty-barrel | Desc_FluidCanister
electric-circuit | Desc_GoldIngot
advanced-circuit | Desc_CircuitBoard
processing-unit | Desc_Computer
engine-unit | Desc_Rotor
electric-engine-unit | Desc_Motor
flying-robot-frame | Desc_MotorLightweight
low-density-structure | Desc_AluminumIngot
rocket-fuel | Desc_TurboFuel
water-barrel | Desc_PackagedWater
crude-oil-barrel | Desc_PackagedOil
petroleum-gas-barrel | Desc_PackagedNitrogenGas
light-oil-barrel | Desc_Fuel
heavy-oil-barrel | Desc_PackagedOilResidue
lubricant-barrel | Desc_PackagedNitricAcid
sulfuric-acid-barrel | Desc_PackagedSulfuricAcid
uranium-fuel-cell | Desc_UraniumCell
nuclear-fuel | Desc_NuclearFuelRod
rocket | Desc_NobeliskExplosive
explosive-rocket | Desc_NobeliskCluster
atomic-bomb | Desc_NobeliskNuke
firearm-magazine | Desc_SpikedRebar
speed-module-3 | Desc_CrystalShard
exoskeleton-equipment | BP_EquipmentDescriptorJumpingStilts
night-vision-equipment | BP_EquipmentDescriptorGasmask
power-armor-mk2 | BP_EquipmentDescriptorHazmatSuit
space-science-pack | Desc_SAM
logistic-science-pack | Desc_RawQuartz
